merchant_id,error_count,transaction_volume,total_transaction_amount,risk_score
27092,1472,47918,4295920.0,1303740.2
59935,880,49493,1814699.6599991042,559609.7979997313
61195,673,45332,1687726.1996465176,520186.6598939553
60569,487,24280,1520559.8500116207,463646.7550034862
43293,493,29804,1123683.839966692,346243.55199000763
39021,582,29852,1055022.6698790789,325695.20096372365
22204,469,27750,1008859.4999713693,311170.4499914108
73186,200,6941,780652.6101258695,236358.08303776084
20561,249,16233,728604.2301066741,223550.76903200222
50783,269,23522,607640.689963365,189456.4069890095
75781,213,21281,524799.2000774294,163909.26002322882
26810,287,13140,503638.2399844378,155148.27199533134
54850,102,3887,464226.14980602264,140474.74494180677
48919,156,7231,419940.39008112997,128213.81702433898
32175,125,7998,409716.8700301647,125364.46100904941
30286,70,3381,382103.8101158887,115673.44303476662
81833,137,8458,374461.3498189356,114930.60494568068
20519,140,18161,355691.31021379866,112211.6930641396
86616,64,3004,350832.6802319288,106176.60406957865
75936,126,11978,296767.7799274735,92674.13397824205
50867,148,8723,295641.0799219087,91368.42397657261
32858,90,5442,288595.6303181462,88247.28909544386
9932,147,4815,265327.61970837414,81101.58591251224
16798,204,10949,255703.3399101775,80077.30197305325
18563,187,10869,250333.48003315926,78435.54400994777
7777,21,1465,245835.19026374817,74198.45707912445
49637,15,1367,242799.6901922226,73256.00705766678
25887,86,7956,235233.9601841569,72991.38805524707
11468,75,5509,234527.59995727986,72040.97998718395
74934,17,1368,238423.77978229523,71944.33393468856
59474,26,1397,238087.6900601387,71855.80701804161
52923,10,1342,230616.1799005866,69591.45397017598
15143,118,6342,219241.42003679276,67722.22601103783
86410,58,4664,215598.9899743758,66102.09699231274
3558,19,1269,217673.03990858793,65690.21197257638
44795,14,1249,213240.80003023148,64352.540009069446
19964,68,3420,209546.80023151636,63917.2400694549
13646,69,4212,207532.31988923252,63550.89596676975
78644,16,1193,210290.0801372528,63451.324041175845
36934,64,3852,201717.8000216186,61696.54000648558
39991,12,1136,197738.5199174881,59667.15597524642
99370,84,3060,195081.23011042923,59475.969033128764
57133,26,1136,191332.12031936646,57750.83609580993
34490,56,3601,188676.70989359915,57705.712968079744
88459,97,3449,186268.15995818377,56953.947987455125
17976,37,1693,179005.93983581662,54224.48195074498
18215,49,3276,172212.14005652815,52666.04201695845
35451,43,5913,167821.15992963314,52137.44797888994
41122,79,4027,166164.33006751537,51088.99902025461
67570,43,2830,159874.55995666608,48828.56798699982
82981,66,3460,158231.0500548333,48533.71501644999
79927,47,2554,158076.78995242715,48208.03698572814
52073,24,747,147734.62987232208,44554.08896169662
51300,19,903,143048.25000572205,43192.975001716615
46284,63,5378,136103.06981026754,42469.52094308026
13348,19,682,137805.06996440887,41553.72098932266
69972,42,4448,132579.130033046,41124.939009913796
44578,49,4628,126386.99007155746,39324.097021467234
16790,19,821,128977.23003005981,38947.06900901794
98374,57,4844,124483.43007801473,38821.029023404415
70268,21,671,127972.60994684696,38601.482984054084
68977,1,264,127885.62002944946,38445.28600883484
31883,9,619,127494.29011678696,38437.587035036086
90999,17,637,125492.3201572299,37845.59604716897
29742,2,239,125170.0901992321,37623.52705976963
78454,49,4123,119039.97006241977,36968.49101872593
85600,1,242,120761.97026443481,36301.59107933044
24823,42,2086,118488.70002043247,36189.21000612974
86369,38,837,119189.63983917236,36023.19195175171
83480,58,7473,112239.37002018094,35936.91100605428
69956,48,2725,116870.68996091932,35897.90698827579
15426,6,716,115913.08003616333,34991.124010848995
56276,28,825,115555.03998279572,34925.21199483871
49789,80,3150,113042.45998334885,34889.73799500465
92822,15,756,115489.4298837781,34879.62896513343
6063,3,230,110295.64996623993,33158.89498987197
41523,11,687,107165.84007072449,32360.252021217344
38602,51,1660,106047.3700849209,32332.611025476268
13523,35,2488,104999.88006021082,32260.364018063246
72351,43,3015,103399.60000811517,31941.58000243455
15574,13,653,103629.86999988556,31290.060999965666
31893,33,1850,102045.9297953844,31181.97893861532
86959,29,1662,99930.150064921,30489.2450194763
71883,8,642,99985.50999307632,30191.452997922894
28395,49,2636,95422.91995035112,29437.275985105338
71667,31,1835,94910.21996247768,29035.965988743304
26909,33,2138,94220.16993767023,28920.650981301067
88646,42,4016,87829.6800548844,27570.50401646532
50404,49,3056,87027.82995797694,27044.748987393083
18131,20,983,88646.96004009247,26896.98801202774
726,23,801,87382.54008412361,26464.262025237083
98648,38,3117,82438.8800277561,25681.964008326828
56431,43,2476,82232.85999053717,25429.85799716115
68671,26,2367,80484.6500248313,24865.895007449388
59397,26,3519,76573.64000566304,24038.19200169891
87530,24,738,79189.66993117332,23987.900979351998
2177,22,2120,77012.86001247168,23748.6580037415
89069,23,1839,76091.86998128891,23388.460994386674
27601,27,1408,75370.82997226715,23044.448991680147
45926,27,3108,73622.9700397402,23030.09101192206
17493,35,2884,73605.71999956667,22960.91599987
41260,24,2138,73389.89007908106,22667.967023724315
37387,15,504,74229.1901140213,22425.95703420639
94123,20,1580,72217.86996531487,22147.360989594457
65108,18,514,73255.81984806061,22138.14595441818
59350,30,802,72000.42006474733,21852.726019424197
4802,24,507,71805.3300485611,21703.29901456833
91128,28,2189,68788.899963364,21304.569989009204
32480,17,482,70197.61000442505,21210.683001327514
30928,18,2283,68042.68001627922,21104.904004883763
40096,30,890,69230.37005615234,21048.1110168457
96529,11,479,69549.38988733292,21012.91696619987
87625,17,2206,67101.78988998383,20799.13696699515
44919,29,2503,66339.8599576205,20664.45798728615
24504,36,3974,64124.48992699012,20443.946978097036
